code,xcoord,ycoord,perc_poverty,metro,pop_density,gdp_percapita,perc_secondary_compelte,income_gini,lab_perc_of_totpob,street_density_km,intersection_density_km,regularity,bet_cen_Gini,clo_cen_Gini,inf_cen_Gini,country
266,-99.20622,19.19834,.402048,2,7.66405856118836,1.70043762746516,.829641,.4414,.566758,8.51544211436801,25.2806853773461,-.519098309329994,.82841014,.11516351,.15869736,1
270,-99.20457,19.42806,.100454,2,8.95852880071631,4.09387972823616,.873827,.3612,.610483,23.4323056975805,95.286358545097,-.301616207603005,.67531155,.1287696,.11531551,1
721,-98.83219,19.71977,.542519,2,5.94411191420801,-.611424797407647,.899607,.3889,.492448,1.22851057812467,2.44805527408816,-.348837209302326,.53918459,.12054755,.10785391,1
1270,-96.56436,16.77563,.992131,1,3.78012611713842,-2.65542963649056,.759091,.391,.330275,.722460294514335,1.51684690889979,-.81651376146789,.57123067,.12673338,.15569864,1
1279,-96.73375,17.16366,.425287,2,5.87634005938607,-1.42159040733367,.841779,.3872,.565407,3.66148167505108,10.8334901700232,-.789690721649485,.72747342,.10901036,.14225795,1
1281,-96.8066,16.81801,.738551,1,5.35979053092281,-.235446049949996,.857569,.4253,.464485,3.19329461863572,6.69122246350715,-.679180887372014,.56324158,.107568,.1015734,1
1296,-96.82695,17.0527,.611462,1,5.90105589091534,-2.92028429025516,.860182,.3955,.511962,9.41427178507164,27.1047395859856,-.817034700315457,.73448004,.08373716,.13326866,1
1314,-96.53397,16.64391,.989914,1,2.49653046855187,-1.11340369866217,.858131,.343,.477916,.347123748948653,.50249584662058,-.72,.58008999,.15888857,.12356577,1
1328,-96.75475,16.982,.314139,1,5.9948429092228,-4.03373730038656,.878049,.4459,.571373,10.3735859984369,21.8963910897569,-.835164835164835,.67285842,.16895751,.19972001,1
1329,-96.60332,16.98468,.676172,1,4.823314871206,-2.57333765149767,.805699,.3678,.452546,3.49152604099374,5.08316573899964,-.417721518987342,.58004188,.13299639,.17263033,1
1335,-96.63342,16.95177,.637672,1,4.1559025007344,-1.99975875010191,.818697,.3722,.456875,1.07510429954236,1.42736104494247,-.136363636363636,.5753929,.15303495,.15012523,1
